deployment_id,receiver_serial_number,receiver_reference_type,receiver_reference_id,receiver_manufacturer,receiver_model
ASF-CHBAY-14-VR2-4306-2007,4306,ManmadePlatform,ASF_ASF-CHBAY-14,VEMCO,VR2
ASF-CHBAY-15-VR2-4307-2007,4307,ManmadePlatform,ASF_ASF-CHBAY-15,VEMCO,VR2
ASF-CHBAY-16-VR2-4308-2007,4308,ManmadePlatform,ASF_ASF-CHBAY-16,VEMCO,VR2
ASF-CHBAY-17-VR2-4309-2007,4309,ManmadePlatform,ASF_ASF-CHBAY-17,VEMCO,VR2
ASF-CHBAY-18-VR2-4311-2007,4311,ManmadePlatform,ASF_ASF-CHBAY-18,VEMCO,VR2
ASF-CHBAY-19-VR2-4312-2007,4312,ManmadePlatform,ASF_ASF-CHBAY-19,VEMCO,VR2
ASF-CHBAY-1-VR2-4287-2007,4287,ManmadePlatform,ASF_ASF-CHBAY-1,VEMCO,VR2
ASF-CHBAY-20-VR2-4313-2007,4313,ManmadePlatform,ASF_ASF-CHBAY-20,VEMCO,VR2
ASF-CHBAY-21-VR2-4314-2007,4314,ManmadePlatform,ASF_ASF-CHBAY-21,VEMCO,VR2
ASF-CHBAY-22-VR2-4316-2007,4316,ManmadePlatform,ASF_ASF-CHBAY-22,VEMCO,VR2
ASF-CHBAY-23-VR2-5009-2007,5009,ManmadePlatform,ASF_ASF-CHBAY-23,VEMCO,VR2
ASF-CHBAY-24-VR2-5010-2007,5010,ManmadePlatform,ASF_ASF-CHBAY-24,VEMCO,VR2
ASF-CHBAY-25-VR2-5011-2007,5011,ManmadePlatform,ASF_ASF-CHBAY-25,VEMCO,VR2
ASF-CHBAY-26-VR2-5012-2007,5012,ManmadePlatform,ASF_ASF-CHBAY-26,VEMCO,VR2
ASF-CHBAY-27-VR2-5013-2007,5013,ManmadePlatform,ASF_ASF-CHBAY-27,VEMCO,VR2
ASF-CHBAY-28-VR2-5016-2007,5016,ManmadePlatform,ASF_ASF-CHBAY-28,VEMCO,VR2
ASF-CHBAY-29-VR2-5021-2007,5021,ManmadePlatform,ASF_ASF-CHBAY-29,VEMCO,VR2
ASF-CHBAY-2-VR2-4288-2007,4288,ManmadePlatform,ASF_ASF-CHBAY-2,VEMCO,VR2
ASF-CHBAY-3-VR2-4290-2007,4290,ManmadePlatform,ASF_ASF-CHBAY-3,VEMCO,VR2
ASF-CHBAY-4-VR2-4291-2007,4291,ManmadePlatform,ASF_ASF-CHBAY-4,VEMCO,VR2
ASF-CHBAY-5-VR2-4292-2007,4292,ManmadePlatform,ASF_ASF-CHBAY-5,VEMCO,VR2
ASF-CHBAY-6-VR2-4293-2007,4293,ManmadePlatform,ASF_ASF-CHBAY-6,VEMCO,VR2
ASF-CHBAY-7-VR2-5017-2007,5017,ManmadePlatform,ASF_ASF-CHBAY-7,VEMCO,VR2
ASF-CHBAY-9-VR2-4300-2007,4300,ManmadePlatform,ASF_ASF-CHBAY-9,VEMCO,VR2
ASF-Deforest-2010-VR2-2610-2010,2610,ManmadePlatform,ASF_ASF-Deforest-2010,VEMCO,VR2
ASF-DOUGLASTOWN 2-VR2-1112-2009,1112,ManmadePlatform,ASF_ASF-DOUGLASTOWN 2,VEMCO,VR2
JDF018-VR2-4169-293,4169,ManmadePlatform,JDF_JDF018,VEMCO,VR2
